Severity,County,State,count
2,Bandera,TX,2
2,Banks,GA,72
2,Bannock,ID,123
2,Baraga,MI,4
2,Barbour,AL,74
2,Barbour,WV,2
2,Barnes,ND,23
2,Barnstable,MA,904
2,Barnwell,SC,343
2,Barren,KY,4
2,Barron,WI,6
2,Barrow,GA,101
2,Barry,MI,28
2,Bartholomew,IN,542
2,Barton,MO,4
2,Bartow,GA,207
2,Bastrop,TX,121
2,Bates,MO,1
2,Bath,KY,5
2,Bath,VA,5
2,Baxter,AR,2
2,Bay,FL,1267
2,Bay,MI,127
2,Bayfield,WI,5
2,Baylor,TX,7
2,Beadle,SD,6
2,Bear Lake,ID,11
2,Beaufort,NC,30
2,Beaufort,SC,2666
2,Beauregard,LA,3
2,Beaver,PA,207
2,Beaver,UT,238
2,Beaverhead,MT,24
2,Becker,MN,279
2,Beckham,OK,4
2,Bedford,PA,401
2,Bedford,TN,15
2,Bedford,VA,30
2,Bedford County,VA,245
2,Bee,TX,4
2,Belknap,NH,429
2,Bell,KY,4
2,Bell,TX,96
2,Belmont,OH,56
2,Beltrami,MN,255
2,Ben Hill,GA,9
2,Benewah,ID,26
2,Bennington,VT,44
2,Benson,ND,1
2,Bent,CO,10
2,Benton,AR,135
2,Benton,IA,36
2,Benton,IN,2
2,Benton,MN,521
2,Benton,MO,1
2,Benton,MS,2
2,Benton,OR,461
2,Benton,TN,12
2,Benton,WA,42
2,Benzie,MI,5
2,Bergen,NJ,5444
2,Berkeley,SC,6241
2,Berkeley,WV,210
2,Berks,PA,1530
2,Berkshire,MA,75
2,Bernalillo,NM,3115
2,Berrien,GA,8
2,Berrien,MI,196
2,Bertie,NC,40
2,Bexar,TX,20745
2,Bibb,AL,65
2,Bibb,GA,196
2,Bienville,LA,16
2,Big Horn,MT,27
2,Big Horn,WY,1
2,Big Stone,MN,1
2,Billings,ND,3
2,Bingham,ID,103
2,Black Hawk,IA,85
2,Bladen,NC,24
2,Blaine,ID,12
2,Blaine,MT,10
2,Blair,PA,562
2,Blanco,TX,16
2,Bland,VA,80
2,Bleckley,GA,23
2,Bledsoe,TN,12
2,Blount,AL,1689
2,Blount,TN,113
2,Blue Earth,MN,1025
2,Boise,ID,39
2,Bolivar,MS,2
2,Bon Homme,SD,1
2,Bond,IL,12
2,Bonner,ID,46
2,Bonneville,ID,127
2,Boone,AR,3
2,Boone,IA,42
2,Boone,IL,83
2,Boone,IN,329
2,Boone,KY,479
2,Boone,MO,139
2,Boone,WV,3
2,Bosque,TX,2
2,Bossier,LA,171
2,Botetourt,VA,567
2,Bottineau,ND,3
2,Boulder,CO,444
2,Boundary,ID,29
2,Bourbon,KY,1
2,Bowie,TX,11
2,Box Butte,NE,2
2,Box Elder,UT,1221
2,Boyd,KY,15
2,Boyle,KY,3
2,Bracken,KY,1
2,Bradford,FL,185
2,Bradford,PA,64
2,Bradley,AR,4
2,Bradley,TN,114
2,Branch,MI,4
2,Brantley,GA,11
2,Braxton,WV,45
2,Brazoria,TX,466
2,Brazos,TX,29
2,Breathitt,KY,2
2,Bremer,IA,11
2,Brevard,FL,4000
2,Brewster,TX,1
2,Bristol,MA,1059
2,Bristol,RI,25
2,Bristol,VA,64
2,Broadwater,MT,24
2,Bronx,NY,6341
2,Brooke,WV,6
2,Brookings,SD,1
2,Brooks,GA,23
2,Brooks,TX,3
2,Broome,NY,353
2,Broomfield,CO,394
2,Broward,FL,15936
2,Brown,IL,2
2,Brown,MN,182
2,Brown,OH,12
2,Brown,WI,652
2,Brunswick,NC,127
2,Brunswick,VA,275
2,Bryan,GA,94
2,Bryan,OK,1
2,Buchanan,IA,34
2,Buchanan,MO,41
2,Buchanan,VA,49
2,Buckingham,VA,41
2,Bucks,PA,1851
2,Buena Vista,IA,17
2,Buena Vista,VA,5
2,Buena Vista City,VA,1
2,Buffalo,NE,44
2,Buffalo,WI,2
2,Bullitt,KY,43
2,Bulloch,GA,82
2,Bullock,AL,43
2,Buncombe,NC,1045
2,Bureau,IL,20
2,Burke,GA,28
2,Burke,NC,130
2,Burleigh,ND,18
2,Burleson,TX,4
2,Burlington,NJ,2567
2,Burnet,TX,54
2,Burnett,WI,4
2,Burt,NE,28
2,Butler,AL,107
2,Butler,KS,7
2,Butler,KY,1
2,Butler,NE,2
2,Butler,OH,543
2,Butler,PA,348
2,Butte,CA,2585
2,Butte,ID,7
2,Butts,GA,170
2,Cabarrus,NC,415
2,Cabell,WV,239
2,Cache,UT,83
2,Caddo,LA,6614
2,Caddo,OK,1
2,Calaveras,CA,1520
2,Calcasieu,LA,235
2,Caldwell,KY,4
2,Caldwell,MO,1
2,Caldwell,NC,41
2,Caldwell,TX,112
2,Caledonia,VT,11
2,Calhoun,AL,105
2,Calhoun,AR,9
2,Calhoun,FL,91
2,Calhoun,GA,3
2,Calhoun,IA,12
2,Calhoun,MI,157
2,Calhoun,MS,9
2,Calhoun,SC,616
2,Calhoun,TX,4
2,Callahan,TX,3
2,Callaway,MO,31
2,Calloway,KY,1
2,Calumet,WI,20
2,Calvert,MD,74
2,Camas,ID,3
2,Cambria,PA,758
2,Camden,GA,37
2,Camden,MO,4
2,Camden,NC,3
2,Camden,NJ,4468
2,Cameron,LA,1
2,Cameron,PA,27
2,Cameron,TX,48
2,Campbell,KY,281
2,Campbell,TN,81
2,Campbell,VA,296
2,Campbell,WY,4
2,Canadian,OK,2271
2,Candler,GA,14
2,Cannon,TN,2
2,Canyon,ID,584
2,Cape Girardeau,MO,7
2,Cape May,NJ,389
2,Carbon,MT,51
2,Carbon,PA,141
2,Carbon,UT,373
2,Carbon,WY,13
2,Caribou,ID,5
2,Carlton,MN,517
2,Caroline,MD,144
2,Caroline,VA,465
2,Carroll,AR,11
2,Carroll,GA,217
2,Carroll,IA,4
2,Carroll,IL,6
2,Carroll,IN,9
2,Carroll,KY,12
2,Carroll,MD,418
2,Carroll,MS,3
2,Carroll,NH,113
2,Carroll,OH,2
2,Carroll,TN,4
2,Carroll,VA,286
2,Carson City,NV,520
2,Carter,KY,7
2,Carter,MO,1
2,Carter,OK,7
2,Carter,TN,35
2,Carteret,NC,7
2,Carver,MN,877
2,Cascade,MT,147
2,Cass,IA,81
2,Cass,IL,1
2,Cass,IN,6
2,Cass,MI,17
2,Cass,MN,444
2,Cass,MO,117
2,Cass,ND,91
2,Cass,NE,52
2,Cass,TX,7
2,Cassia,ID,77
2,Caswell,NC,13
2,Catawba,NC,367
2,Catoosa,GA,85
2,Catron,NM,2
2,Cattaraugus,NY,52
2,Cayuga,NY,135
2,Cecil,MD,478
2,Cedar,IA,92
2,Cedar,NE,4
2,Centre,PA,1202
2,Cerro Gordo,IA,22
2,Chaffee,CO,35
2,Chambers,AL,54
2,Chambers,TX,11
2,Champaign,IL,35
2,Champaign,OH,25
2,Charles,MD,282
2,Charles City,VA,38
2,Charles Mix,SD,8
2,Charleston,SC,2672
2,Charlevoix,MI,5
2,Charlotte,FL,663
2,Charlotte,VA,55
2,Charlottesville,VA,71
2,Charlottesville City,VA,2
2,Charlton,GA,17
2,Chase,KS,4
2,Chase,NE,1
2,Chatham,GA,1650
2,Chatham,NC,132
2,Chattahoochee,GA,17
2,Chattooga,GA,37
2,Chautauqua,NY,280
2,Chaves,NM,8
2,Cheatham,TN,81
2,Cheboygan,MI,8
2,Chelan,WA,25
2,Chemung,NY,16
2,Chenango,NY,12
2,Cherokee,AL,19
2,Cherokee,GA,417
2,Cherokee,IA,5
2,Cherokee,KS,4
2,Cherokee,NC,9
2,Cherokee,OK,3
2,Cherokee,SC,1928
2,Cherokee,TX,10
2,Cherry,NE,2
2,Chesapeake,VA,1268
2,Chesapeake City,VA,2
2,Cheshire,NH,429
2,Chester,PA,4762
2,Chester,SC,981
2,Chesterfield,SC,973
2,Chesterfield,VA,7176
2,Cheyenne,CO,7
2,Cheyenne,NE,8
2,Chickasaw,IA,5
2,Chickasaw,MS,2
2,Chicot,AR,13
2,Childress,TX,3
2,Chilton,AL,1474
2,Chippewa,MI,1
2,Chippewa,MN,159
2,Chippewa,WI,90
2,Chisago,MN,1324
2,Chittenden,VT,79
2,Choctaw,AL,12
2,Choctaw,OK,1
2,Chouteau,MT,10
2,Chowan,NC,6
2,Christian,IL,5
2,Christian,KY,15
2,Christian,MO,27
2,Churchill,NV,336
2,Cibola,NM,91
2,Citrus,FL,806
2,Clackamas,OR,4804
2,Claiborne,LA,4
2,Claiborne,TN,9
2,Clallam,WA,162
2,Clare,MI,11
2,Clarendon,SC,849
2,Clarion,PA,85
2,Clark,AR,53
2,Clark,ID,27
2,Clark,IL,6
2,Clark,IN,215
2,Clark,KY,7
2,Clark,MO,1
2,Clark,NV,1969
2,Clark,OH,190
2,Clark,WA,1241
2,Clark,WI,14
2,Clarke,AL,7
2,Clarke,GA,79
2,Clarke,IA,8
2,Clarke,MS,9
2,Clarke,VA,125
2,Clatsop,OR,1988
2,Clay,AL,12
2,Clay,AR,9
2,Clay,FL,1470
2,Clay,GA,3
2,Clay,IA,13
2,Clay,IN,17
2,Clay,KY,5
2,Clay,MN,38
2,Clay,MO,1329
2,Clay,MS,1
2,Clay,NC,7
2,Clay,TN,4
2,Clay,TX,13
2,Clay,WV,4
2,Clayton,GA,1264
2,Clayton,IA,12
2,Clear Creek,CO,132
2,Clearfield,PA,1022
2,Clearwater,ID,4
2,Clearwater,MN,26
2,Cleburne,AL,73
2,Cleburne,AR,4
2,Clermont,OH,340
2,Cleveland,AR,9
2,Cleveland,NC,73
2,Cleveland,OK,2484
2,Clinch,GA,1
2,Clinton,IA,56
2,Clinton,IL,2
2,Clinton,IN,29
2,Clinton,MI,66
2,Clinton,MO,14
2,Clinton,NY,51
2,Clinton,OH,42
2,Clinton,PA,281
2,Coahoma,MS,4
2,Cobb,GA,2576
2,Cochise,AZ,95
2,Cocke,TN,63
2,Coconino,AZ,589
2,Coffee,AL,161
2,Coffee,GA,16
2,Coffee,TN,85
2,Colbert,AL,167
2,Cole,MO,16
2,Coleman,TX,8
2,Coles,IL,9
2,Colfax,NE,8
2,Colfax,NM,16
2,Colleton,SC,1793
2,Collier,FL,1212
2,Collin,TX,2912
2,Colonial Heights,VA,138
2,Colonial Heights City,VA,26
2,Colorado,TX,15
2,Colquitt,GA,13
2,Columbia,AR,8
2,Columbia,FL,814
2,Columbia,GA,393
2,Columbia,NY,1277
2,Columbia,OR,1181
2,Columbia,PA,404
2,Columbia,WA,2
2,Columbia,WI,101
