ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-175045,MapQuest,201.0,2,2016-08-07 10:14:39,2016-08-07 11:14:39,41.746601,-88.030922,,,0.0,Accident on Woodward Ave near Country Club Dr.,7709.0,Woodward Ave,R,Woodridge,Dupage,IL,60517-3110,US,US/Central,KLOT,2016-08-07 10:15:00,76.5,,51.0,30.08,10.0,ENE,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1849427,MapQuest,201.0,2,2018-10-26 06:55:48,2018-10-26 07:25:37,36.225136,-82.631508,,,0.0,Accident on Old State Route 34 at Maple St.,3950.0,Old State Route 34,L,Limestone,Washington,TN,37681-2504,US,US/Eastern,KTRI,2018-10-26 06:53:00,46.0,44.8,100.0,29.85,3.0,East,3.5,0.16,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-520038,MapQuest,241.0,3,2020-12-24 15:32:06,2020-12-24 17:21:42,41.94632,-87.718704,,,0.0,Lane blocked due to accident on I-90 Kennedy Expy Eastbound at Exit 45A Addison St.,,I-90 E,R,Chicago,Cook,IL,60618,US,US/Central,KORD,2020-12-24 15:51:00,15.0,3.0,64.0,29.1,8.0,WNW,10.0,0.0,Light Snow,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-1982997,MapQuest,201.0,2,2018-08-30 11:18:45,2018-08-30 11:48:34,29.801697,-95.267448,,,0.0,Accident on US-90 Bus McCarty St at Citypark Loop.,4495.0,N McCarty St,L,Houston,Harris,TX,77013-3631,US,US/Central,KHOU,2018-08-30 10:53:00,88.0,,70.0,30.06,10.0,ENE,9.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2810769,Bing,,2,2016-07-21 04:27:48,2016-07-21 10:27:48,41.196584,-85.10395,41.203601,-85.10421,0.485,At Union Chapel Rd - Accident.,,I-69 N,R,Fort Wayne,Allen,IN,46845,US,US/Eastern,KGWB,2016-07-21 04:35:00,69.8,,83.0,30.16,5.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3849590,Bing,,2,2019-10-01 18:42:00,2019-10-01 19:23:45,37.522875,-121.988243,37.522875,-121.988243,0.0,At Stevenson Blvd - Accident.,,I-880 N,R,Newark,Alameda,CA,94560,US,US/Pacific,KPAO,2019-10-01 17:46:00,,,,29.96,10.0,NNW,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-318954,MapQuest,201.0,2,2017-02-07 12:13:24,2017-02-07 12:43:06,34.094757,-118.205978,,,0.01,Accident on CA-110 Southbound at Avenue 43.,,Pasadena Fwy S,R,Los Angeles,Los Angeles,CA,90031,US,US/Pacific,KCQT,2017-02-07 12:05:00,62.1,,93.0,30.17,10.0,West,5.8,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2788480,Bing,,2,2016-10-18 09:35:52,2016-10-18 15:35:52,37.7841,-77.89231,37.77824,-77.8853,0.557,At US-522/Exit 159 - Accident.,,I-64 E,R,Gum Spring,Louisa,VA,23065,US,US/Eastern,KLKU,2016-10-18 09:35:00,69.8,,83.0,29.99,10.0,SW,4.6,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3818582,Bing,,2,2019-10-25 00:34:00,2019-10-25 01:30:45,41.962663,-121.920897,41.962663,-121.920897,0.0,At Meiss Lake Rd - Accident.,,W 4th St,R,Dorris,Siskiyou,CA,96023,US,US/Pacific,KLMT,2019-10-25 01:53:00,37.0,37.0,73.0,26.1,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3994809,Bing,,2,2018-09-07 22:10:08,2018-09-07 22:39:55,30.38737,-81.55824,30.36276,-81.55314,1.727,Between Dames Point Brg (North) and SR-9A/SR-113 Split - Accident. Right lane blocked.,,E Beltway S,R,Jacksonville,Duval,FL,32226,US,US/Eastern,KJAX,2018-09-07 21:56:00,78.1,,90.0,30.01,10.0,NE,3.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3796934,Bing,,4,2019-10-09 19:40:37,2019-10-09 20:09:16,38.99918,-76.55566,38.99918,-76.55566,0.0,Closed at Epping Forest Rd - Road closed due to accident.,1900.0, Generals Hwy,R,Annapolis,Anne Arundel,MD,21401-6719,US,US/Eastern,KNAK,2019-10-09 19:54:00,60.0,60.0,75.0,30.22,10.0,NE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1880625,MapQuest,201.0,3,2018-09-11 12:52:26,2018-09-11 13:22:10,33.764633,-80.964104,,,0.0,Accident on I-26 Westbound at Exit 129 US-21.,,I-26 E,R,Swansea,Lexington,SC,29160,US,US/Eastern,KCAE,2018-09-11 12:56:00,90.0,,61.0,30.06,10.0,Variable,3.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2425675,MapQuest,201.0,3,2017-12-12 07:49:51,2017-12-12 08:18:56,42.213402,-83.407249,,,1.98000001907,Entry ramp to I-94 Westbound from I-275 Northbound shoulder blocked due to accident.,,I-275 N,R,Romulus,Wayne,MI,48174,US,US/Eastern,KDTW,2017-12-12 07:53:00,21.9,7.3,58.0,29.85,9.0,NW,18.4,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1730199,MapQuest,201.0,2,2018-10-31 10:42:09,2018-10-31 11:11:58,36.176979,-95.856415,,,0.0,Accident on US-169 Northbound at Pine St.,,E Pine St,R,Tulsa,Tulsa,OK,74116,US,US/Central,KTUL,2018-10-31 10:53:00,57.0,,59.0,29.96,10.0,NNE,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3892119,Bing,,2,2019-03-17 12:32:54,2019-03-17 16:52:52,42.387303,-122.377611,42.387331,-122.37767,0.004,At Big Elk Rd/NF-37 - Accident.,,Lake of the Woods Hwy,R,Butte Falls,Jackson,OR,97522,US,US/Pacific,KMFR,2019-03-17 12:53:00,59.0,,39.0,30.15,10.0,ENE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1373492,MapQuest,201.0,2,2019-06-24 11:26:12,2019-06-24 12:43:12,35.991909,-86.654793,,,0.0,Accident on Whittemore Ln at Burkitt Rd.,6800.0,Burkitt Rd,R,Antioch,Davidson,TN,37013-4701,US,US/Central,KBNA,2019-06-24 11:14:00,79.0,79.0,82.0,29.16,6.0,S,8.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2228109,MapQuest,201.0,3,2018-03-02 04:10:46,2018-03-02 04:55:19,34.222126,-118.366646,,,0.0,HOV lane blocked due to accident on I-5 Northbound near Sunland Blvd.,,I-5 N,R,Sun Valley,Los Angeles,CA,91352,US,US/Pacific,KBUR,2018-03-02 04:17:00,48.9,,100.0,30.05,6.0,ESE,15.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3129824,Bing,,2,2020-12-26 07:01:00,2020-12-26 08:56:10,25.831766,-80.205805,25.83361,-80.205888,0.128,Incident on I-95 NB near NW 62ND ST Drive with caution.,,I-95 N,R,Miami,Miami-Dade,FL,33127,US,US/Eastern,KMIA,2020-12-26 06:53:00,48.0,45.0,71.0,30.17,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-3629806,Bing,,2,2020-04-09 09:28:13,2020-04-09 10:28:13,33.69091,-79.1177,33.69091,-79.1177,0.0,At Bucksport Rd - Accident.,8102.0, Highway 701 S,L,Conway,Horry,SC,29527-7906,US,US/Eastern,KHYW,2020-04-09 09:35:00,72.0,72.0,83.0,29.6,10.0,W,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3258964,Bing,,2,2020-11-15 10:06:00,2020-11-15 10:41:00,34.154792,-117.473424,34.160007,-117.467137,0.509,Stationary traffic on I-15 N - Ontario Fwy N from Summit Ave (I-15) to Duncan Canyon Rd (I-15) due to accident.,,I-15 N,R,Fontana,San Bernardino,CA,92336,US,US/Pacific,KONT,2020-11-15 09:53:00,71.0,71.0,19.0,29.13,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2832697,Bing,,2,2016-12-30 17:43:37,2016-12-30 23:43:37,43.57304,-116.23912,43.57195,-116.230311,0.447,At Vista Ave/Exit 53 - Accident.,,Vietnam Veterans Memorial Hwy,R,Boise,Ada,ID,83705,US,US/Mountain,KBOI,2016-12-30 17:53:00,12.9,6.9,88.0,30.24,7.0,NNW,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1277231,MapQuest,201.0,2,2019-07-17 19:10:48,2019-07-17 19:40:35,33.469398,-112.262032,,,0.0,Accident on 94th Ave at Hubbell St.,2001.0,N 94th Ave,L,Phoenix,Maricopa,AZ,85037-4426,US,US/Mountain,KGEU,2019-07-17 18:56:00,102.0,102.0,23.0,28.61,10.0,WSW,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-610656,MapQuest,201.0,2,2020-09-21 06:07:55,2020-09-21 07:22:43,39.283489,-77.531738,,,0.0,Accident on Ballenger Creek Pike at Swains Lock Ct.,1796.0,Canal Run Dr,L,Point Of Rocks,Frederick,MD,21777-2022,US,US/Eastern,KFDK,2020-09-21 06:15:00,37.0,37.0,93.0,30.23,1.0,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3616525,Bing,,2,2020-04-03 17:32:38,2020-04-03 18:07:36,40.22294,-74.75862,40.22294,-74.75862,0.0,At RT-33/RT-129/Market St - Accident.,,Trenton Fwy N,R,Trenton,Mercer,NJ,08608,US,US/Eastern,KTTN,2020-04-03 17:53:00,53.0,53.0,59.0,29.53,10.0,NNW,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-472008,MapQuest,201.0,2,2017-06-21 18:12:21,2017-06-21 18:57:11,40.794495,-89.780319,,,0.0,Accident on US-150 at Geick Ln.,8598.0,N Geick Ln,R,Brimfield,Peoria,IL,61517,US,US/Central,KPIA,2017-06-21 17:54:00,81.0,,67.0,29.87,10.0,SSW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1406406,MapQuest,201.0,2,2019-05-15 07:43:27,2019-05-15 08:12:13,43.203438,-75.407761,,,0.0,Accident on NY-49 Eastbound near NY-365 River Rd.,,NY-49 W,R,Rome,Oneida,NY,13440,US,US/Eastern,KRME,2019-05-15 07:53:00,43.0,43.0,93.0,29.37,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-667552,MapQuest,201.0,2,2020-10-29 08:16:31,2020-10-29 09:01:07,28.371107,-81.300011,,,0.0,Accident on FL-417-TOLL Central Florida Greeneway Northbound at Exits 17 17A Boggy Creek Rd.,,Central Florida Greeneway N,R,Orlando,Orange,FL,32827,US,US/Eastern,KMCO,2020-10-29 08:20:00,75.0,75.0,100.0,29.85,9.0,S,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-318100,MapQuest,201.0,3,2017-02-03 11:07:36,2017-02-03 11:37:12,33.20179,-117.128174,,,0.01,Right hand shoulder blocked due to accident on I-15 Northbound at Exit 37 County Hwy-S12 Mountain Meadow Rd.,,I-15 N,R,Escondido,San Diego,CA,92026,US,US/Pacific,KCRQ,2017-02-03 10:53:00,59.0,,78.0,30.12,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2172115,MapQuest,201.0,3,2018-04-05 17:03:38,2018-04-05 17:32:59,45.456856,-122.572609,,,0.0,Accident on I-205 Northbound at Exit 16 Johnson Creek Blvd.,,I-205 N,R,Happy Valley,Clackamas,OR,97086,US,US/Pacific,KTTD,2018-04-05 17:02:00,54.0,,90.0,29.88,4.0,East,8.1,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
