ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),State_Name
A-3301194,2,44.868046,-93.350325,Minneapolis,Hennepin,MN,36,36,100,28.91,4,0,0,Minnesota
A-3111637,2,26.399773,-80.090411,Boca Raton,Palm Beach,FL,78,78,76,29.99,8,17,0,Florida
A-3687096,4,40.65323,-112.28919,Tooele,Tooele,UT,33,29,59,25.56,10,5,0,Utah
A-622924,2,36.092911,-86.845558,Nashville,Davidson,TN,52,52,86,29.33,9,0,0,Tennessee
A-686141,2,41.194447,-73.686211,Mount Kisco,Westchester,NY,78,78,81,29.55,10,3,0,New York
A-3259960,2,33.960007,-118.286764,Los Angeles,Los Angeles,CA,74,74,40,29.94,7,0,0,California
A-3802133,2,33.73281,-117.98926,Huntington Beach,Orange,CA,81,81,21,29.77,10,10,0,California
A-992764,2,33.08448,-80.65303,Walterboro,Colleton,SC,54,54,44,29.7,10,10,0,South Carolina
A-900192,3,29.520521,-98.499268,San Antonio,Bexar,TX,62,62,86,29.32,3,8,0,Texas
A-922963,2,33.66811,-112.082878,Phoenix,Maricopa,AZ,53,53,47,28.32,10,6,0,Arizona
A-1495299,2,33.38858,-112.081963,Phoenix,Maricopa,AZ,97,97,10,28.64,10,3,0,Arizona
A-1183876,2,29.680704,-95.227669,Pasadena,Harris,TX,84,84,67,29.88,10,12,0,Texas
A-3220571,2,34.75719,-85.002282,Dalton,Whitfield,GA,55,55,82,29.48,10,0,0,Georgia
A-869980,2,35.49329,-97.610092,Oklahoma City,Oklahoma,OK,76,76,33,28.72,10,13,0,Oklahoma
A-3354762,2,28.027206,-82.19431,Plant City,Hillsborough,FL,82,82,58,29.84,10,7,0,Florida
A-1692846,2,33.168819,-87.513809,Tuscaloosa,Tuscaloosa,AL,41,38,82,30.27,10,4.6,0,Alabama
A-3348853,2,32.601605,-80.902682,Yemassee,Jasper,SC,56,56,77,29.89,10,7,0,South Carolina
A-3154920,2,25.761659,-80.392748,Miami,Miami-Dade,FL,47,47,83,30.13,10,0,0,Florida
A-3597505,2,38.29374,-85.55922,Louisville,Jefferson,KY,53,53,83,29.27,1,5,0.03,Kentucky
A-3712137,2,37.970266,-121.33843,Stockton,San Joaquin,CA,44,40,49,30.26,10,7,0,California
A-4198056,2,40.71844,-112.075274,Magna,Salt Lake,UT,70,70,31,25.98,10,6,0,Utah
A-866770,2,32.345188,-110.976379,Tucson,Pima,AZ,81,81,18,27.16,10,15,0,Arizona
A-1327521,2,32.148819,-110.924179,Tucson,Pima,AZ,76,76,43,27.19,10,8,0,Arizona
A-3319121,2,36.93014,-77.746429,Warfield,Brunswick,VA,51,51,58,29.17,10,8,0,Virginia
A-3809921,2,32.83241,-117.11884,San Diego,San Diego,CA,71,71,57,29.45,10,12,0,California
A-899260,2,41.380619,-77.06189,Trout Run,Lycoming,PA,39,35,93,29.3,4,6,0,Pennsylvania
A-3878765,2,33.850981,-117.8145,Anaheim,Orange,CA,77,77,46,29.89,10,7,0,California
A-3977827,2,45.363557,-123.80439,Tillamook,Tillamook,OR,46,46,93,30.05,10,0,0,Oregon
A-679501,2,37.703827,-122.060921,Castro Valley,Alameda,CA,72,72,48,29.93,6,0,0,California
A-1335517,2,32.583828,-117.08728,San Diego,San Diego,CA,63,63,84,29.92,10,8,0,California
A-1246330,2,35.772671,-78.62825,Raleigh,Wake,NC,71,71,78,29.66,10,3,0,North Carolina
A-770138,2,29.779449,-95.387039,Houston,Harris,TX,66,66,73,30.15,10,6,0,Texas
A-3051531,2,29.709427,-95.267386,Houston,Harris,TX,79,79,84,29.9,10,12,0,Texas
A-1259311,3,39.174133,-84.490326,Cincinnati,Hamilton,OH,69,69,81,29.45,10,5,0,Ohio
A-842263,2,35.80262,-78.782951,Cary,Wake,NC,47,44,90,29.86,10,6,0,North Carolina
A-573799,2,33.202789,-87.567017,Tuscaloosa,Tuscaloosa,AL,62,62,84,29.83,8,7,0,Alabama
A-1404383,3,38.909744,-77.217407,Falls Church,Fairfax County,VA,60,60,44,29.88,10,21,0,Virginia
A-3529539,4,40.83541,-73.88211,Bronx,Bronx,NY,79,79,58,29.78,10,8,0,New York
A-537779,2,37.145756,-121.985161,Los Gatos,Santa Clara,CA,42,42,82,30.12,8,0,0,California
A-624470,3,32.696026,-97.23793,Fort Worth,Tarrant,TX,73,73,31,29.33,10,7,0,Texas
A-3443681,3,41.85571,-87.64464,Chicago,Cook,IL,86,86,44,29.28,10,14,0,Illinois
A-3830328,2,44.9549,-93.18846,Saint Paul,Ramsey,MN,32,32,75,29.33,10,0,0,Minnesota
A-2311450,3,39.535374,-119.778809,Sparks,Washoe,NV,30,24.1,92,29.77,1.2,5.8,0.01,Nevada
A-3533068,2,38.44557,-122.19682,Napa,Napa,CA,55,55,80,29.78,10,14,0,California
A-3152151,2,46.847128,-96.730336,Moorhead,Clay,MN,11,1,88,29.08,10,6,0,Minnesota
A-661516,3,27.167858,-80.39193,Palm City,Martin,FL,75,75,89,29.93,10,0,0,Florida
A-3638523,2,37.897673,-122.09113,Lafayette,Contra Costa,CA,53,53,77,29.99,9,15,0,California
A-796887,2,35.803135,-78.428223,Knightdale,Wake,NC,70,70,94,29.47,10,0,0,North Carolina
A-3136026,2,39.955279,-76.697396,York,York,PA,43,43,86,29.41,5,3,0,Pennsylvania
A-1258171,3,33.856133,-117.980896,Anaheim,Orange,CA,67,67,76,29.91,8,3,0,California
A-1427756,2,34.750858,-120.520432,Lompoc,Santa Barbara,CA,57,57,82,29.5,10,7,0,California
A-2292774,3,42.972855,-83.765694,Flint,Genesee,MI,21.9,9.8,85,29.79,2.5,12.7,0,Michigan
A-3001740,2,46.891461,-114.101396,Missoula,Missoula,MT,46,46,100,26.49,10,0,0,Montana
A-928470,2,34.208439,-82.175362,Greenwood,Greenwood,SC,60,60,36,29.23,10,13,0,South Carolina
A-1163578,2,32.975212,-96.65715,Garland,Dallas,TX,77,77,78,29.31,10,7,0,Texas
A-906176,2,29.961195,-95.547096,Houston,Harris,TX,50,50,39,30.44,10,6,0,Texas
A-3853347,2,45.507207,-122.683595,Portland,Multnomah,OR,69,69,54,30.04,10,9,0,Oregon
A-935301,3,45.571503,-122.549355,Portland,Multnomah,OR,44,41,85,30.18,8,6,0.05,Oregon
A-1471644,2,38.077621,-84.507179,Lexington,Fayette,KY,38,29,65,28.96,10,15,0,Kentucky
A-3404479,2,46.703211,-92.301191,Duluth,St. Louis,MN,20,7,74,28.35,10,14,0,Minnesota
A-604266,2,40.765129,-73.174156,Islip Terrace,Suffolk,NY,62,62,78,30.15,10,5,0,New York
A-1169241,2,38.00544,-121.258034,Stockton,San Joaquin,CA,48,46,71,30.06,10,5,0,California
A-3758895,2,34.02628,-117.957555,La Puente,Los Angeles,CA,63,63,35,29.84,10,0,0,California
A-3020695,2,30.632661,-88.118065,Mobile,Mobile,AL,69,69,61,30.21,10,5,0,Alabama
A-3697199,2,42.08116,-122.59959,Ashland,Jackson,OR,44,44,93,28.79,10,3,0,Oregon
A-1352866,3,40.868092,-73.832596,Bronx,Bronx,NY,60,60,78,29.81,5,16,0.09,New York
A-3147210,2,28.356856,-80.701232,Merritt Island,Brevard,FL,71,71,74,30.27,5,13,0.03,Florida
A-3280209,2,40.158303,-75.115751,Willow Grove,Montgomery,PA,26,26,71,30.19,10,0,0,Pennsylvania
A-1405669,3,29.660963,-95.558037,Houston,Harris,TX,69,69,84,29.92,10,7,0,Texas
A-1155802,2,47.11837,-122.293228,Puyallup,Pierce,WA,36,36,72,29.52,10,0,0,Washington
A-1334318,3,30.254324,-82.391922,Sanderson,Baker,FL,97,97,27,29.79,10,6,0,Florida
A-3662497,3,41.90108,-87.61963,Chicago,Cook,IL,44,40,76,29.33,10,8,0,Illinois
A-978015,3,33.595909,-117.245094,Wildomar,Riverside,CA,73,73,15,28.64,10,9,0,California
A-1482999,2,32.830601,-96.841377,Dallas,Dallas,TX,60,60,60,29.56,10,0,0,Texas
A-3467793,1,28.53706,-81.36807,Orlando,Orange,FL,70,70,87,29.81,4,16,0.06,Florida
A-3342712,2,25.611518,-80.41423,Miami,Miami-Dade,FL,68,68,100,29.97,1,0,0,Florida
A-1152900,3,32.398354,-93.751709,Shreveport,Caddo,LA,62,62,29,30.01,10,9,0,Louisiana
A-3520432,2,34.1611,-118.469614,Sherman Oaks,Los Angeles,CA,88,88,37,28.96,10,6,0,California
A-1133474,2,41.600677,-83.664734,Toledo,Lucas,OH,37,33,96,29.11,2,5,0,Ohio
A-3072473,2,25.924729,-80.298628,Hialeah,Miami-Dade,FL,81,81,77,29.91,10,5,0,Florida
A-3658977,3,39.92154,-76.89329,Thomasville,York,PA,50,50,89,29.37,10,0,0,Pennsylvania
A-1074144,2,33.34573,-81.975761,Augusta,Richmond,GA,74,74,33,29.76,10,10,0,Georgia
A-927785,3,39.081951,-94.49041,Kansas City,Jackson,MO,53,53,34,29.15,10,10,0,Missouri
A-3174572,2,25.893753,-80.183863,Miami,Miami-Dade,FL,68,68,65,30.14,10,3,0,Florida
A-3355743,2,38.532223,-121.461557,Sacramento,Sacramento,CA,64,64,30,30.18,10,6,0,California
A-682175,2,27.505159,-82.374283,Bradenton,Manatee,FL,81,81,91,29.95,10,6,0,Florida
A-3034518,2,45.285826,-123.822795,Cloverdale,Tillamook,OR,64,64,77,30.1,10,9,0,Oregon
A-3034021,2,39.912259,-120.806607,Quincy,Plumas,CA,78,78,23,29.95,10,3,0,California
A-610056,3,26.331566,-81.750252,Bonita Springs,Lee,FL,84,84,82,29.9,10,8,0,Florida
A-765785,2,29.608408,-98.523033,San Antonio,Bexar,TX,86,86,24,29.24,10,14,0,Texas
A-1372157,2,40.764938,-73.952347,New York,New York,NY,78,78,52,29.69,10,5,0,New York
A-2886602,2,40.738173,-74.075441,Jersey City,Hudson,NJ,42.8,38,19,30.43,10,8.1,9.98,New Jersey
A-3247845,2,30.367132,-91.256176,Addis,West Baton Rouge,LA,55,55,96,30.25,10,3,0,Louisiana
A-3703270,3,45.29375,-118.037,La Grande,Union,OR,31,31,96,27.33,10,0,0,Oregon
A-1750256,3,41.809864,-88.050232,Downers Grove,DuPage,IL,33.1,30,92,30.12,1.5,3.5,0.02,Illinois
A-3406363,2,30.371288,-97.721354,Austin,Travis,TX,71,71,53,29.25,10,3,0,Texas
A-3407364,2,27.78085,-82.728304,Saint Petersburg,Pinellas,FL,69,69,96,30.03,10,3,0,Florida
A-3255239,2,34.161375,-118.293174,Glendale,Los Angeles,CA,45,45,82,29.23,8,0,0,California
A-1286392,2,37.545139,-77.553314,Richmond,Richmond City,VA,66,66,93,29.66,10,7,0,Virginia
A-3056879,2,38.982657,-123.00161,Hopland,Mendocino,CA,50,50,89,29.33,10,9,0,California
A-3199483,2,36.923668,-120.183245,Madera,Madera,CA,82,82,39,29.66,3,3,0,California
A-3392531,2,36.260851,-86.712689,Madison,Davidson,TN,76,76,50,29.54,10,7,0,Tennessee
A-973499,2,30.42108,-91.152878,Baton Rouge,East Baton Rouge,LA,53,53,74,30.04,10,12,0,Louisiana
A-708151,2,35.543701,-97.605537,Oklahoma City,Oklahoma,OK,77,77,89,28.53,2,12,0,Oklahoma
A-2954019,2,34.794527,-92.388464,Little Rock,Pulaski,AR,59,59,93,29.74,10,0,0,Arkansas
A-626143,2,32.63818,-96.949837,Dallas,Dallas,TX,69,69,45,29.44,10,9,0,Texas
A-4189977,2,35.32525,-84.77745,Calhoun,McMinn,TN,78,78,71,29.22,10,5,0,Tennessee
A-846110,2,30.32085,-97.726379,Austin,Travis,TX,79,79,65,29.16,7,7,0,Texas
A-3611337,1,33.49428,-112.23771,Phoenix,Maricopa,AZ,80,80,16,28.71,10,7,0,Arizona
A-1378782,2,42.94429,-83.704483,Flint,Genesee,MI,85,85,38,29.34,10,5,0,Michigan
A-3181256,2,40.330784,-78.743014,Sidman,Cambria,PA,35,29,78,27.58,10,7,0,Pennsylvania
A-1434551,2,40.68298,-73.805923,South Ozone Park,Queens,NY,57,57,100,29.8,0.12,6,0,New York
A-1132017,2,30.475475,-97.767311,Austin,Williamson,TX,49,47,80,29.3,10,5,0,Texas
A-3347536,2,25.686308,-80.41669,Miami,Miami-Dade,FL,82,82,69,29.86,10,15,0,Florida
A-3239448,2,36.987301,-121.968138,Soquel,Santa Cruz,CA,51,51,61,30,10,3,0,California
A-3651695,3,41.76531,-72.65446,East Hartford,Hartford,CT,45,42,86,29.4,4,6,0.05,Connecticut
A-2999961,2,32.977514,-80.015782,Goose Creek,Berkeley,SC,68,68,27,30.12,10,13,0,South Carolina
A-3326993,2,43.158298,-77.60689,Rochester,Monroe,NY,62,62,90,29.23,10,9,0,New York
A-3392104,2,35.822155,-84.2877,Lenoir City,Loudon,TN,29,29,89,29.31,10,0,0,Tennessee
A-672249,2,32.250305,-110.978073,Tucson,Pima,AZ,74,74,86,27.12,10,6,0,Arizona
A-198691,2,41.565388,-73.762688,Hopewell Junction,Dutchess,NY,37,31,96,29.63,2.5,8.1,0.02,New York
A-3296082,2,41.265496,-76.913276,Montoursville,Lycoming,PA,58,58,87,29.61,10,7,0,Pennsylvania
A-3705560,2,26.2651,-80.25015,Coral Springs,Broward,FL,77,77,56,29.86,10,14,0,Florida
A-2304008,2,47.884048,-122.15641,Snohomish,Snohomish,WA,46,42.5,96,30.15,0.2,6.9,0.02,Washington
A-582722,2,36.191513,-86.777618,Nashville,Davidson,TN,65,65,52,29.59,10,3,0,Tennessee
A-3293074,2,32.740145,-97.347626,Fort Worth,Tarrant,TX,53,53,59,29.46,10,8,0,Texas
A-1168573,2,30.248087,-97.608719,Austin,Travis,TX,91,91,42,29.41,10,6,0,Texas
A-3484814,2,39.884504,-122.199957,Corning,Tehama,CA,76,76,33,29.37,10,15,0,California
A-3528473,3,39.14207,-94.56428,Kansas City,Clay,MO,83,83,63,28.92,10,14,0,Missouri
A-1319848,3,39.71138,-104.826752,Aurora,Arapahoe,CO,82,82,33,24.45,10,9,0,Colorado
A-3222246,2,35.064424,-80.763209,Charlotte,Mecklenburg,NC,52,52,47,29.61,10,6,0,North Carolina
A-3570676,2,34.054356,-118.004333,La Puente,Los Angeles,CA,64,64,52,29.85,10,10,0,California
A-905767,2,44.768429,-93.217079,Saint Paul,Dakota,MN,3,-6,92,29.54,4,5,0,Minnesota
A-3715885,2,38.570704,-121.468512,Sacramento,Sacramento,CA,62,62,41,30.08,10,0,0,California
A-3323773,2,38.196254,-78.99555,Verona,Augusta,VA,50,50,80,29.04,10,0,0,Virginia
A-875657,3,44.859272,-93.328499,Minneapolis,Hennepin,MN,34,27,61,28.77,10,9,0,Minnesota
A-3879385,2,33.54307,-111.88014,Scottsdale,Maricopa,AZ,87,87,32,28.79,10,3,0,Arizona
A-4218352,2,40.66534,-73.99653,Brooklyn,Kings,NY,83,83,56,29.82,10,5,0,New York
A-555066,2,34.358669,-79.780991,Darlington,Darlington,SC,41,38,96,30.12,10,5,0,South Carolina
A-198692,3,40.745876,-74.160645,Harrison,Hudson,NJ,44.1,37.4,96,29.61,2,13.8,0.02,New Jersey
A-730960,3,32.924866,-96.787666,Dallas,Dallas,TX,79,79,69,29.42,13,0,0,Texas
A-3185971,2,33.519855,-86.831227,Birmingham,Jefferson,AL,61,61,54,29.43,10,7,0,Alabama
A-1115067,2,39.050529,-84.578941,Crescent Springs,Kenton,KY,33,21,89,29.08,1,21,0.01,Kentucky
A-3577321,2,42.33528,-83.21589,Detroit,Wayne,MI,43,37,37,29.55,10,10,0,Michigan
A-1068139,2,45.503551,-122.548012,Portland,Multnomah,OR,54,54,83,29.99,10,10,0,Oregon
A-3250894,2,39.626075,-84.369084,Germantown,Montgomery,OH,46,46,60,29.59,10,0,0,Ohio
A-3447571,3,35.33887,-80.82417,Charlotte,Mecklenburg,NC,70,70,88,29.31,3,7,0,North Carolina
A-1189343,3,45.531754,-122.616951,Portland,Multnomah,OR,56,56,60,29.8,10,8,0,Oregon
A-3509495,3,25.99622,-80.1671,Hollywood,Broward,FL,85,85,74,30.03,10,15,0,Florida
A-3939309,2,45.06884,-93.27335,Minneapolis,Anoka,MN,26.1,19.4,88,29.99,3,5.8,0,Minnesota
A-763297,2,34.16256,-79.837143,Florence,Florence,SC,63,63,50,29.75,10,8,0,South Carolina
A-3759419,2,40.66768,-111.95799,Taylorsville,Salt Lake,UT,29,29,75,25.95,10,0,0,Utah
A-2980734,2,34.055953,-118.463668,Los Angeles,Los Angeles,CA,68,68,76,29.68,3,0,0,California
A-2247434,3,41.875191,-80.176201,Edinboro,Erie,PA,26.1,12.7,84,29.83,0.5,18.4,0,Pennsylvania
A-3011325,2,44.861952,-93.305007,Minneapolis,Hennepin,MN,33,27,64,29.51,10,7,0,Minnesota
A-3295798,2,36.965425,-119.519121,Prather,Fresno,CA,52,52,66,29.96,10,3,0,California
A-3653413,2,38.42918,-121.58292,Clarksburg,Yolo,CA,62,62,60,30.13,10,8,0,California
A-4182084,2,33.5499,-91.38395,Dermott,Chicot,AR,66,66,93,29.54,10,7,0.08,Arkansas
A-3093156,2,40.416909,-74.206928,Hazlet,Monmouth,NJ,49,49,93,29.9,10,3,0,New Jersey
A-3706267,2,33.765926,-117.937725,Garden Grove,Orange,CA,54,54,75,29.96,10,0,0,California
A-3002284,2,43.133987,-75.469518,Rome,Oneida,NY,47,47,86,29.39,10,3,0,New York
A-1259681,2,27.893669,-82.728912,Largo,Pinellas,FL,84,84,76,29.93,10,9,0,Florida
A-575027,3,27.43885,-82.459122,Bradenton,Manatee,FL,77,77,94,29.6,2,29,0.42,Florida
A-3400801,2,26.685781,-81.795507,Fort Myers,Lee,FL,64,64,46,30.21,10,10,0,Florida
A-3158977,2,33.762719,-117.472966,Corona,Riverside,CA,75,75,55,29.38,10,6,0,California
A-3021705,2,40.81684,-74.046273,Carlstadt,Bergen,NJ,64,64,60,29.93,10,8,0,New Jersey
A-3155764,2,30.203787,-95.456021,Conroe,Montgomery,TX,63,63,78,29.72,10,6,0,Texas
A-1445855,2,37.739845,-121.590294,Tracy,Alameda,CA,51,51,68,29.56,10,0,0,California
A-1350508,2,40.68499,-73.724716,Valley Stream,Nassau,NY,70,70,47,30.19,10,9,0,New York
A-3660520,3,37.67424,-122.1235,San Lorenzo,Alameda,CA,63,63,72,30,10,0,0,California
A-3671721,2,45.39778,-92.99506,Stacy,Chisago,MN,30,21,64,28.79,10,10,0,Minnesota
A-573806,2,36.111332,-86.922523,Nashville,Davidson,TN,65,65,33,29.37,10,8,0,Tennessee
A-1062421,3,30.438541,-91.024033,Baton Rouge,East Baton Rouge,LA,69,69,70,29.89,10,10,0,Louisiana
A-1486781,2,35.316399,-80.780998,Charlotte,Mecklenburg,NC,79,79,34,29.21,10,12,0,North Carolina
A-735830,2,33.494801,-112.032402,Phoenix,Maricopa,AZ,95,95,32,28.6,10,3,0,Arizona
A-4237249,2,45.200236,-123.179638,McMinnville,Yamhill,OR,82,82,37,29.73,10,6,0,Oregon
A-568307,2,34.477081,-82.78746,Anderson,Anderson,SC,57,57,37,29.41,10,0,0,South Carolina
A-3004891,2,37.48201,-120.272427,Catheys Valley,Mariposa,CA,53,53,77,29.54,10,6,0,California
A-1270350,2,35.042004,-82.429893,Travelers Rest,Greenville,SC,83,83,63,29.06,10,3,0,South Carolina
A-1243681,3,38.827492,-76.877708,Suitland,Prince George's,MD,74,74,51,29.7,10,12,0,Maryland
A-794929,2,35.450256,-97.487946,Oklahoma City,Oklahoma,OK,91,91,51,28.57,10,14,0,Oklahoma
A-560859,3,42.188992,-71.854179,Auburn,Worcester,MA,59,59,36,29.1,10,16,0,Massachusetts
A-1349827,2,33.509979,-112.013039,Phoenix,Maricopa,AZ,104,104,14,28.73,10,5,0,Arizona
A-1256921,2,30.248032,-97.735329,Austin,Travis,TX,88,88,65,29.48,10,12,0,Texas
A-3799948,2,45.83309,-95.15624,Osakis,Douglas,MN,32,19,88,28.13,1,24,0,Minnesota
A-3680443,2,45.49132,-122.67779,Portland,Multnomah,OR,47,42,86,29.75,10,12,0.01,Oregon
A-2862096,2,42.37853,-83.43658,Plymouth,Wayne,MI,30,17.9,75,29.78,5,18.4,0,Michigan
A-3668856,1,36.13617,-86.78869,Nashville,Davidson,TN,67,67,68,29.04,10,9,0,Tennessee
A-1080876,2,42.558964,-73.680908,Castleton on Hudson,Rensselaer,NY,54,54,64,30,10,3,0,New York
A-3755980,2,38.6889,-109.69632,Thompson,Grand,UT,29,29,72,25.24,10,0,0,Utah
A-1425276,3,40.213383,-76.880501,New Cumberland,York,PA,69,69,44,29.63,10,12,0,Pennsylvania
A-874170,2,41.136803,-74.167923,Sloatsburg,Rockland,NY,25,17,53,29.9,10,7,0,New York
A-1173986,2,26.706005,-80.062477,West Palm Beach,Palm Beach,FL,84,84,56,30.02,10,24,0,Florida
A-967714,2,34.183582,-118.89151,Newbury Park,Ventura,CA,64,64,58,30.2,10,7,0,California
A-1445154,2,30.383249,-97.765923,Austin,Travis,TX,71,71,84,29.21,10,3,0,Texas
A-3756058,2,45.29177,-121.68893,Government Camp,Clackamas,OR,44,36,71,30.13,10,18,0,Oregon
A-1499370,2,43.060982,-83.701271,Flint,Genesee,MI,27,20,66,29.49,10,6,0,Michigan
A-1022855,2,30.114033,-81.813698,Middleburg,Clay,FL,61,61,94,29.97,10,5,0,Florida
A-3041654,2,28.449438,-81.499681,Orlando,Orange,FL,70,70,61,30.11,10,9,0,Florida
A-3549455,3,44.95183,-93.15782,Saint Paul,Ramsey,MN,55,55,45,29.54,10,3,0,Minnesota
A-1060573,3,40.701736,-73.991577,Brooklyn,Kings,NY,57,57,67,29.84,10,7,0,New York
A-3164693,2,36.149579,-86.772905,Nashville,Davidson,TN,46,43,58,29.42,10,6,0,Tennessee
A-840571,3,29.841906,-95.390388,Houston,Harris,TX,75,75,87,30.1,7,14,0,Texas
A-804372,2,33.837219,-117.287628,Perris,Riverside,CA,93,93,6,28.34,10,8,0,California
A-3161530,2,40.687327,-74.099189,Bayonne,Hudson,NJ,70,70,55,29.95,10,15,0,New Jersey
A-3012355,2,45.531324,-122.570825,Portland,Multnomah,OR,68,68,61,30.15,10,8,0,Oregon
A-3680038,2,44.83338,-93.05979,Inver Grove Heights,Dakota,MN,23,12,76,29.22,10,10,0,Minnesota
A-3660420,2,38.254194,-122.478375,Sonoma,Sonoma,CA,77,77,41,29.98,10,12,0,California
A-919625,2,25.983868,-80.311325,Hollywood,Broward,FL,65,65,93,29.92,0.5,6,0,Florida
A-3045222,2,34.145678,-117.292044,San Bernardino,San Bernardino,CA,88,88,8,28.78,7,8,0,California
A-3549132,3,39.95261,-75.13282,Camden,Camden,NJ,63,63,45,30.19,10,15,0,New Jersey
A-628892,2,35.586224,-97.437607,Oklahoma City,Oklahoma,OK,59,59,55,28.75,10,0,0,Oklahoma
A-533026,3,40.587475,-111.900688,Sandy,Salt Lake,UT,31,31,72,25.95,10,0,0,Utah
A-1451717,2,28.156813,-82.537682,Lutz,Hillsborough,FL,63,63,78,30.22,10,6,0,Florida
A-555495,2,30.513262,-91.159081,Baton Rouge,East Baton Rouge,LA,75,75,82,29.96,10,14,0,Louisiana
A-592701,3,39.159119,-94.49762,Kansas City,Clay,MO,83,83,65,28.93,10,9,0,Missouri
A-3770899,2,45.01003,-93.1867,Saint Paul,Ramsey,MN,0,-14,63,29.51,10,8,0,Minnesota
A-3055529,2,34.84001,-82.285732,Greenville,Greenville,SC,58,58,25,29.14,10,10,0,South Carolina
A-3745985,2,40.68706,-111.87137,Salt Lake City,Salt Lake,UT,46,41,46,25.85,10,12,0,Utah
A-3091457,2,34.789228,-82.481887,Greenville,Anderson,SC,63,63,19,29.03,10,6,0,South Carolina
A-1351544,2,37.21307,-93.385025,Springfield,Greene,MO,67,67,76,28.63,10,14,0,Missouri
A-2528020,2,30.051275,-90.638298,Mount Airy,St. John the Baptist,LA,80,80,62,30.17,10,10,0,Louisiana
A-3326597,2,47.603963,-122.335606,Seattle,King,WA,50,50,74,30.39,10,12,0,Washington
