ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1179953,MapQuest,201,2,24-09-2019 08:27,24-09-2019 09:27,39.362049,-76.733673,,,0,Accident on Sudbrook Ln at Sudbrook Rd.,744,Milford Mill Rd,R,Pikesville,Baltimore County,MD,21208-5809,US,US/Eastern,KDMH,24-09-2019 08:54,72,,53,29.88,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-260154,MapQuest,241,3,26-07-2016 07:23,26-07-2016 08:08,39.369827,-76.513718,,,0,Lane blocked and right hand shoulder blocked due to accident on I-695 clockwise at Exits 32A 32B US-1 Belair Rd.,,I-695 W,R,Nottingham,Baltimore County,MD,21236,US,US/Eastern,KMTN,26-07-2016 07:45,78.8,,89,29.96,10,WNW,3.5,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3444610,Bing,,2,26-05-2020 14:55,26-05-2020 15:10,41.82117,-71.4203,41.82117,-71.4203,0,Ramp to I-95 Southbound and US-6 Eastbound - Earlier accident.,,I-95 S,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,26-05-2020 14:51,74,74,68,30.13,10,SSE,13,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2279736,MapQuest,201,2,29-03-2018 15:36,29-03-2018 16:21,35.837574,-78.559578,,,0,Accident on Windmere Chase Dr at Waterford Cove Dr.,4798,Waterford Cove Dr,L,Raleigh,Wake,NC,27616-0726,US,US/Eastern,KRDU,29-03-2018 15:51,77,,50,29.94,10,SSW,18.4,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2021948,MapQuest,201,2,23-07-2018 10:08,23-07-2018 10:53,41.467403,-73.821251,,,0,Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at NY-301.,,Taconic State Pkwy,R,Carmel,Putnam,NY,10512,US,US/Eastern,KDXR,23-07-2018 09:53,73.9,,93,30.13,10,SSE,9.2,0.01,Overcast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2822493,Bing,,2,29-04-2016 07:07,29-04-2016 13:07,41.06557,-73.86484,41.08357,-73.92401,3.323,Between Tappan Zee Bridge Toll Plaza and US-9W/Exit 10 - Accident.,,I-287 W,R,Tarrytown,Westchester,NY,10591,US,US/Eastern,KHPN,29-04-2016 06:56,46,42.5,71,30.1,10,East,6.9,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2724547,Bing,,2,04-05-2016 19:37,05-05-2016 01:37,34.03167,-118.02194,34.03525,-118.0297,0.509,At I-605 - Accident.,,Pomona Fwy W,R,La Puente,Los Angeles,CA,91746,US,US/Pacific,KEMT,04-05-2016 19:54,64.4,,59,29.93,10,SW,8.1,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1937294,MapQuest,201,2,08-08-2018 15:53,08-08-2018 16:37,25.78334,-80.269646,,,0,Right lane blocked due to accident on FL-836 Dolphin Expy Eastbound at 45th Ave.,,NW 45th Ave,R,Miami,Miami-Dade,FL,33126,US,US/Eastern,KMIA,08-08-2018 15:53,90,,63,30.08,10,ESE,10.4,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3907751,Bing,,4,11-02-2019 19:46,11-02-2019 20:15,29.79208,-95.05996,29.77998,-95.11915,3.646,Closed between TX-330-SPUR/FM-2100/Lynchburg Rd and Sheldon Rd - Road closed due to accident.,,I-10 W,R,Highlands,Harris,TX,77562,US,US/Central,KEFD,11-02-2019 19:50,68,,94,29.88,7,South,5.8,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1549919,MapQuest,201,2,29-03-2019 09:59,29-03-2019 11:07,35.120506,-81.57309,,,0,Accident on I-85 Northbound at Exit 98 Milliken Rd.,,I-85 N,R,Blacksburg,Cherokee,SC,29702,US,US/Eastern,KEHO,29-03-2019 10:00,53.4,,52,30.21,10,WSW,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1999278,MapQuest,245,3,10-07-2018 14:25,10-07-2018 14:55,41.551083,-81.603104,,,2.75999999,Two lanes blocked due to accident on I-90 Eastbound between Exit 177 Martin Luther King Dr and Exit 178 Eddy Rd.,,Eddy Rd,R,Cleveland,Cuyahoga,OH,44108,US,US/Eastern,KBKL,10-07-2018 14:53,78.1,,66,30.02,10,NNW,6.9,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3797704,Bing,,2,09-10-2019 06:13,09-10-2019 07:00,34.24779,-118.42585,34.24779,-118.42585,0,At Osborne St/Exit 154 - Accident.,,Golden State Fwy S,R,Pacoima,Los Angeles,CA,91331,US,US/Pacific,KWHP,09-10-2019 08:00,57,57,94,28.84,3,CALM,0,,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-2282720,MapQuest,201,2,30-03-2018 12:11,30-03-2018 13:25,34.537617,-81.918861,,,0,Accident on SC-308 at Bethany Church Rd.,4900,Highway 308,R,Laurens,Laurens,SC,29360,US,US/Eastern,KLUX,30-03-2018 12:15,64.4,,64,30.01,10,SW,11.5,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-56373,MapQuest,241,2,14-12-2016 19:04,14-12-2016 19:33,34.15345,-118.651581,,,0.01,One lane blocked due to accident on US-101 Eastbound at Exit 30 Calabasas Rd.,,US-101 S,R,Calabasas,Los Angeles,CA,91302,US,US/Pacific,KVNY,14-12-2016 18:51,61,,78,30.04,6,Calm,,,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2957948,Bing,,2,10-11-2020 23:45,11-11-2020 02:59,37.368203,-121.902419,37.366963,-121.901189,0.109,GISH ONR TO NB 880. RED FORD F150 73546C2 VS WHI NISS ALT 8MOV808 / 1125 AT METERING LIGHTS,,Old Bayshore Hwy,R,San Jose,Santa Clara,CA,95112,US,US/Pacific,KSJC,10-11-2020 23:53,55,55,74,30.06,10,CALM,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-205583,MapQuest,201,3,16-11-2016 06:44,16-11-2016 07:14,40.828316,-73.931114,,,0.01,Accident on I-87 Major Deegan Expy Northbound at Exit 5 Macombs Dam Bridge.,,Macombs Dam Brg,R,Bronx,Bronx,NY,10451,US,US/Eastern,KLGA,16-11-2016 06:51,50,,63,29.76,10,West,12.7,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-1755737,MapQuest,201,2,12-11-2018 08:20,12-11-2018 08:50,34.441578,-119.812927,,,0,Accident on US-101 Northbound at Exits 104 104A 104B CA-217 Ward Memorial Blvd.,,Ward Memorial Blvd,R,Santa Barbara,Santa Barbara,CA,93111,US,US/Pacific,KSBA,12-11-2018 07:53,50,,50,30.23,10,Calm,,,Smoke,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3092436,Bing,,2,18-10-2020 20:20,19-10-2020 00:15,34.114859,-118.268294,34.103554,-118.25148,1.239,Slow traffic on I-5 from Los Feliz Blvd (I-5) to CA-2/Glendale Fwy (I-5) due to accident.,,Golden State Fwy S,R,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,18-10-2020 19:52,69,69,78,29.75,10,W,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1239759,MapQuest,201,2,27-08-2019 09:49,27-08-2019 10:51,30.212971,-92.031212,,,0,Accident on St Landry St at Dean St.,198,Dean St,R,Lafayette,Lafayette,LA,70506-4710,US,US/Central,KLFT,27-08-2019 09:53,86,86,72,29.93,10,SW,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1059517,MapQuest,201,2,15-10-2019 05:37,15-10-2019 06:22,32.862221,-96.893196,,,0,Left hand shoulder blocked due to accident on Stemmons Fwy Southbound at TX-12-LOOP Northwest Hwy.,10001,N Stemmons Fwy,L,Dallas,Dallas,TX,75220,US,US/Central,KDAL,15-10-2019 05:53,73,73,90,29.37,8,S,7,0,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-1622047,MapQuest,201,2,04-01-2019 07:04,04-01-2019 07:34,32.677471,-97.062271,,,0,Accident on TX-360 Angus G Wynne Jr Fwy Southbound at I-20.,,I-20 W,R,Grand Prairie,Tarrant,TX,75052,US,US/Central,KGPM,04-01-2019 06:55,37.8,32.5,93,30,10,West,6.9,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-175045,MapQuest,201,2,07-08-2016 10:14,07-08-2016 11:14,41.746601,-88.030922,,,0,Accident on Woodward Ave near Country Club Dr.,7709,Woodward Ave,R,Woodridge,Dupage,IL,60517-3110,US,US/Central,KLOT,07-08-2016 10:15,76.5,,51,30.08,10,ENE,4.6,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1849427,MapQuest,201,2,26-10-2018 06:55,26-10-2018 07:25,36.225136,-82.631508,,,0,Accident on Old State Route 34 at Maple St.,3950,Old State Route 34,L,Limestone,Washington,TN,37681-2504,US,US/Eastern,KTRI,26-10-2018 06:53,46,44.8,100,29.85,3,East,3.5,0.16,Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-520038,MapQuest,241,3,24-12-2020 15:32,24-12-2020 17:21,41.94632,-87.718704,,,0,Lane blocked due to accident on I-90 Kennedy Expy Eastbound at Exit 45A Addison St.,,I-90 E,R,Chicago,Cook,IL,60618,US,US/Central,KORD,24-12-2020 15:51,15,3,64,29.1,8,WNW,10,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1982997,MapQuest,201,2,30-08-2018 11:18,30-08-2018 11:48,29.801697,-95.267448,,,0,Accident on US-90 Bus McCarty St at Citypark Loop.,4495,N McCarty St,L,Houston,Harris,TX,77013-3631,US,US/Central,KHOU,30-08-2018 10:53,88,,70,30.06,10,ENE,9.2,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2810769,Bing,,2,21-07-2016 04:27,21-07-2016 10:27,41.196584,-85.10395,41.203601,-85.10421,0.485,At Union Chapel Rd - Accident.,,I-69 N,R,Fort Wayne,Allen,IN,46845,US,US/Eastern,KGWB,21-07-2016 04:35,69.8,,83,30.16,5,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3849590,Bing,,2,01-10-2019 18:42,01-10-2019 19:23,37.522875,-121.988243,37.522875,-121.988243,0,At Stevenson Blvd - Accident.,,I-880 N,R,Newark,Alameda,CA,94560,US,US/Pacific,KPAO,01-10-2019 17:46,,,,29.96,10,NNW,15,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-318954,MapQuest,201,2,07-02-2017 12:13,07-02-2017 12:43,34.094757,-118.205978,,,0.01,Accident on CA-110 Southbound at Avenue 43.,,Pasadena Fwy S,R,Los Angeles,Los Angeles,CA,90031,US,US/Pacific,KCQT,07-02-2017 12:05,62.1,,93,30.17,10,West,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2788480,Bing,,2,18-10-2016 09:35,18-10-2016 15:35,37.7841,-77.89231,37.77824,-77.8853,0.557,At US-522/Exit 159 - Accident.,,I-64 E,R,Gum Spring,Louisa,VA,23065,US,US/Eastern,KLKU,18-10-2016 09:35,69.8,,83,29.99,10,SW,4.6,,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3818582,Bing,,2,25-10-2019 00:34,25-10-2019 01:30,41.962663,-121.920897,41.962663,-121.920897,0,At Meiss Lake Rd - Accident.,,W 4th St,R,Dorris,Siskiyou,CA,96023,US,US/Pacific,KLMT,25-10-2019 01:53,37,37,73,26.1,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3994809,Bing,,2,07-09-2018 22:10,07-09-2018 22:39,30.38737,-81.55824,30.36276,-81.55314,1.727,Between Dames Point Brg (North) and SR-9A/SR-113 Split - Accident. Right lane blocked.,,E Beltway S,R,Jacksonville,Duval,FL,32226,US,US/Eastern,KJAX,07-09-2018 21:56,78.1,,90,30.01,10,NE,3.5,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3796934,Bing,,4,09-10-2019 19:40,09-10-2019 20:09,38.99918,-76.55566,38.99918,-76.55566,0,Closed at Epping Forest Rd - Road closed due to accident.,1900, Generals Hwy,R,Annapolis,Anne Arundel,MD,21401-6719,US,US/Eastern,KNAK,09-10-2019 19:54,60,60,75,30.22,10,NE,8,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-1880625,MapQuest,201,3,11-09-2018 12:52,11-09-2018 13:22,33.764633,-80.964104,,,0,Accident on I-26 Westbound at Exit 129 US-21.,,I-26 E,R,Swansea,Lexington,SC,29160,US,US/Eastern,KCAE,11-09-2018 12:56,90,,61,30.06,10,Variable,3.5,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2425675,MapQuest,201,3,12-12-2017 07:49,12-12-2017 08:18,42.213402,-83.407249,,,1.980000019,Entry ramp to I-94 Westbound from I-275 Northbound shoulder blocked due to accident.,,I-275 N,R,Romulus,Wayne,MI,48174,US,US/Eastern,KDTW,12-12-2017 07:53,21.9,7.3,58,29.85,9,NW,18.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-1730199,MapQuest,201,2,31-10-2018 10:42,31-10-2018 11:11,36.176979,-95.856415,,,0,Accident on US-169 Northbound at Pine St.,,E Pine St,R,Tulsa,Tulsa,OK,74116,US,US/Central,KTUL,31-10-2018 10:53,57,,59,29.96,10,NNE,11.5,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3892119,Bing,,2,17-03-2019 12:32,17-03-2019 16:52,42.387303,-122.377611,42.387331,-122.37767,0.004,At Big Elk Rd/NF-37 - Accident.,,Lake of the Woods Hwy,R,Butte Falls,Jackson,OR,97522,US,US/Pacific,KMFR,17-03-2019 12:53,59,,39,30.15,10,ENE,3.5,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1373492,MapQuest,201,2,24-06-2019 11:26,24-06-2019 12:43,35.991909,-86.654793,,,0,Accident on Whittemore Ln at Burkitt Rd.,6800,Burkitt Rd,R,Antioch,Davidson,TN,37013-4701,US,US/Central,KBNA,24-06-2019 11:14,79,79,82,29.16,6,S,8,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2228109,MapQuest,201,3,02-03-2018 04:10,02-03-2018 04:55,34.222126,-118.366646,,,0,HOV lane blocked due to accident on I-5 Northbound near Sunland Blvd.,,I-5 N,R,Sun Valley,Los Angeles,CA,91352,US,US/Pacific,KBUR,02-03-2018 04:17,48.9,,100,30.05,6,ESE,15,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3129824,Bing,,2,26-12-2020 07:01,26-12-2020 08:56,25.831766,-80.205805,25.83361,-80.205888,0.128,Incident on I-95 NB near NW 62ND ST Drive with caution.,,I-95 N,R,Miami,Miami-Dade,FL,33127,US,US/Eastern,KMIA,26-12-2020 06:53,48,45,71,30.17,10,N,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-3629806,Bing,,2,09-04-2020 09:28,09-04-2020 10:28,33.69091,-79.1177,33.69091,-79.1177,0,At Bucksport Rd - Accident.,8102, Highway 701 S,L,Conway,Horry,SC,29527-7906,US,US/Eastern,KHYW,09-04-2020 09:35,72,72,83,29.6,10,W,5,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3258964,Bing,,2,15-11-2020 10:06,15-11-2020 10:41,34.154792,-117.473424,34.160007,-117.467137,0.509,Stationary traffic on I-15 N - Ontario Fwy N from Summit Ave (I-15) to Duncan Canyon Rd (I-15) due to accident.,,I-15 N,R,Fontana,San Bernardino,CA,92336,US,US/Pacific,KONT,15-11-2020 09:53,71,71,19,29.13,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2832697,Bing,,2,30-12-2016 17:43,30-12-2016 23:43,43.57304,-116.23912,43.57195,-116.230311,0.447,At Vista Ave/Exit 53 - Accident.,,Vietnam Veterans Memorial Hwy,R,Boise,Ada,ID,83705,US,US/Mountain,KBOI,30-12-2016 17:53,12.9,6.9,88,30.24,7,NNW,3.5,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-1277231,MapQuest,201,2,17-07-2019 19:10,17-07-2019 19:40,33.469398,-112.262032,,,0,Accident on 94th Ave at Hubbell St.,2001,N 94th Ave,L,Phoenix,Maricopa,AZ,85037-4426,US,US/Mountain,KGEU,17-07-2019 18:56,102,102,23,28.61,10,WSW,10,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-610656,MapQuest,201,2,21-09-2020 06:07,21-09-2020 07:22,39.283489,-77.531738,,,0,Accident on Ballenger Creek Pike at Swains Lock Ct.,1796,Canal Run Dr,L,Point Of Rocks,Frederick,MD,21777-2022,US,US/Eastern,KFDK,21-09-2020 06:15,37,37,93,30.23,1,CALM,0,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
