ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
A-1753704,2,39.658298,-84.327583,Germantown,Montgomery,OH,40.8,,61,30.19,10,,
A-492037,2,37.746044,-121.361679,Tracy,San Joaquin,CA,90,,38,29.98,10,9.2,
A-1429718,2,38.414627,-121.899345,Vacaville,Solano,CA,72,72,53,29.91,10,12,0
A-144478,3,26.394529,-80.092979,Boca Raton,Palm Beach,FL,89.6,,66,30.13,10,17.3,
A-1540046,3,40.827496,-73.931091,Bronx,Bronx,NY,60.1,,18,30.02,10,10.4,
A-803641,2,45.009853,-93.199501,Saint Paul,Ramsey,MN,78,78,79,28.82,6,0,0.04
A-3286995,2,40.710401,-73.986574,New York,New York,NY,50,50,50,29.97,10,6,0
A-2034560,2,37.740002,-121.120865,Ripon,San Joaquin,CA,88,,28,29.92,5,6.9,
A-368256,2,42.960636,-85.67514,Grand Rapids,Kent,MI,23,10.1,48,30.58,10,15,
A-1794512,2,29.767576,-95.206093,Houston,Harris,TX,75.9,,82,30.12,10,4.6,
A-3939453,3,39.88192,-104.98746,Denver,Adams,CO,41,34.3,21,29.96,30,11.5,
A-837182,2,27.80637,-82.732788,Saint Petersburg,Pinellas,FL,71,71,84,30.17,10,8,0
A-4137065,3,42.38604,-87.98565,Gurnee,Lake,IL,46,41.9,79,29.68,10,8.1,
A-1054031,2,33.598679,-79.021362,Murrells Inlet,Horry,SC,78,78,52,29.97,10,13,0
A-3464385,4,39.42071,-76.64496,Towson,Baltimore County,MD,,,,29.86,,,0
A-1632072,2,42.562481,-71.590759,Ayer,Middlesex,MA,28.9,19.2,78,29.49,10,11.5,0
A-1534213,2,34.033417,-118.180458,Los Angeles,Los Angeles,CA,62.1,,60,30,10,,
A-3917436,2,44.016687,-121.31924,Bend,Deschutes,OR,10.4,,85,29.92,2.5,,
A-819635,3,42.391445,-83.006378,Detroit,Wayne,MI,37,32,93,29.19,10,6,0
A-2399070,3,33.846485,-84.247078,Tucker,DeKalb,GA,28.9,21.9,64,30.36,10,6.9,
A-1807558,2,33.43819,-111.959923,Tempe,Maricopa,AZ,57.9,,93,29.64,5,15,0.13
A-2290323,3,33.860634,-80.113167,Gable,Clarendon,SC,50,,43,30.23,10,11.5,
A-293454,3,29.520191,-98.483177,San Antonio,Bexar,TX,98.1,,36,29.78,10,10.4,
A-1379217,2,37.52824,-77.41777,Richmond,Richmond City,VA,93,93,34,29.93,10,6,0
A-1137503,2,35.085629,-89.896004,Memphis,Shelby,TN,41,41,86,29.76,10,0,0
A-2079741,2,38.165077,-122.577904,Novato,Marin,CA,60.8,,68,30.02,10,4.6,
A-1561525,3,41.169617,-79.02298,Brookville,Jefferson,PA,3,-4.4,76,30.38,4,3.5,
A-2127430,2,39.451954,-116.735512,Austin,Lander,NV,47,44,77,24.15,,6,0
A-573563,3,41.796307,-87.631416,Chicago,Cook,IL,49,46,46,29.34,10,7,0
A-3958599,2,45.397132,-122.476153,Damascus,Clackamas,OR,55.9,,90,30.01,10,,0.01
A-3537122,1,33.79841,-112.12579,Phoenix,Maricopa,AZ,73,73,15,28.24,10,8,0
A-3118253,2,28.982768,-81.896088,Weirsdale,Marion,FL,,,,,,,
A-2943666,2,38.93579,-94.70807,Overland Park,Johnson,KS,78.1,,87,29.88,10,8.1,
A-1475836,3,42.301105,-71.048355,Dorchester,Suffolk,MA,60,60,23,30.12,10,13,0
A-651491,2,29.74077,-95.366379,Houston,Harris,TX,84,84,69,29.99,10,13,0
A-2763289,3,33.58805,-84.38352,Forest Park,Clayton,GA,54,,100,30.44,10,,
A-955539,2,38.568325,-121.51017,Sacramento,Sacramento,CA,56,56,60,30.2,10,8,0
A-68673,2,33.781429,-117.943214,Garden Grove,Orange,CA,75.9,,36,30.04,10,5.8,
A-2113190,3,38.846413,-77.432106,Centreville,Fairfax County,VA,70,,53,30.23,10,9.2,
A-2165851,2,34.124546,-81.029022,Columbia,Richland,SC,78.1,,40,29.9,10,6.9,
A-918719,3,47.43457,-121.977341,Issaquah,King,WA,51,51,61,29.97,10,7,0
A-3945597,2,33.94577,-118.09436,Santa Fe Springs,Los Angeles,CA,64.9,,61,30.08,9,,
A-3824813,2,44.26967,-93.29578,Faribault,Rice,MN,,,,29.13,10,0,
A-1192540,2,29.781309,-95.536034,Houston,Harris,TX,96,96,35,29.88,10,15,0
A-4013832,2,39.05033,-94.47099,Kansas City,Jackson,MO,66.9,,81,30.27,10,5.8,
A-540709,2,30.219509,-97.769669,Austin,Travis,TX,65,65,26,29.35,10,0,0
A-4004691,2,29.938846,-95.381389,Houston,Harris,TX,79,,77,29.99,10,6.9,
A-2745567,3,32.79187,-96.7293,Dallas,Dallas,TX,72.5,,66,30.18,10,3.5,
A-4025859,2,33.26739,-80.57089,Saint George,Dorchester,SC,89.6,,49,29.73,10,8.1,
A-2286416,2,45.346397,-122.983849,Newberg,Yamhill,OR,46,,83,30.25,10,,
A-2497711,3,35.752972,-78.648949,Raleigh,Wake,NC,53.1,,38,29.89,10,8.1,
A-4101097,4,42.63826,-84.73909,Potterville,Eaton,MI,50.5,,51,30.03,10,15,
A-3871252,2,34.066293,-117.252456,Loma Linda,San Bernardino,CA,99,99,22,28.62,7,12,0
A-4091037,4,43.76651,-83.976485,Linwood,Bay,MI,1,-11.7,66,30.6,10,6.9,
A-477744,2,41.130348,-73.814636,Pleasantville,Westchester,NY,75.2,,83,29.63,10,6.9,
A-3932910,2,37.48422,-122.18363,Redwood City,San Mateo,CA,59,,59,30.19,10,3.5,
A-4033916,3,32.803548,-96.793293,Dallas,Dallas,TX,90,,42,29.98,10,8.1,
A-200605,2,41.318253,-73.859299,Mohegan Lake,Westchester,NY,37.4,,70,30.22,7,,
A-2124508,3,39.273617,-84.351318,Cincinnati,Hamilton,OH,87.1,,48,29.95,10,11.5,
A-3410563,2,33.462134,-112.023993,Phoenix,Maricopa,AZ,93,93,18,28.57,10,0,0
A-3898992,4,33.02015,-87.74979,Fosters,Tuscaloosa,AL,68,,78,30,10,9.2,
A-3034444,2,33.972613,-118.168047,Bell Gardens,Los Angeles,CA,60,60,60,29.77,10,3,0
A-3978409,2,43.633316,-122.155223,Oakridge,Lane,OR,57,,89,30.02,10,4.6,
A-593155,2,36.051231,-119.107491,Porterville,Tulare,CA,99,99,32,29.31,7,5,0
A-4099302,4,40.63015,-75.47214,Whitehall,Lehigh,PA,,,,29.99,10,13.8,
A-3111886,2,27.284123,-82.497505,Sarasota,Sarasota,FL,72,72,66,30.12,10,8,0
A-2619964,3,33.461967,-112.108353,Phoenix,Maricopa,AZ,97,,10,29.74,10,4.6,
A-2656787,2,33.668301,-112.169212,Glendale,Maricopa,AZ,90,,46,29.83,10,9.2,
A-2950255,3,34.14652,-84.74252,Cartersville,Bartow,GA,77,,94,30,10,,0
A-1576991,2,30.474007,-84.293991,Tallahassee,Leon,FL,53.1,,100,30.17,0.2,,
A-2462343,2,37.479328,-77.341591,Henrico,Henrico,VA,66,,42,30.11,10,4.6,
A-3286289,2,37.694734,-120.958104,Modesto,Stanislaus,CA,57,57,47,30.02,10,5,0
A-2732049,3,29.69783,-95.45921,Bellaire,Harris,TX,53.6,,58,30.03,9,4.6,
A-1757202,2,34.531563,-82.696846,Anderson,Anderson,SC,48.9,,93,30.08,10,5.8,0.01
A-1658763,2,29.46608,-98.619049,San Antonio,Bexar,TX,40.3,31,45,30.18,10,19.6,0
A-2054511,2,35.593426,-97.63192,Oklahoma City,Oklahoma,OK,87.1,,55,29.96,10,9.2,
A-1866642,3,29.744165,-95.361115,Houston,Harris,TX,91.4,,49,29.93,10,5.8,
A-3582032,2,34.062205,-117.524208,Ontario,San Bernardino,CA,52,52,77,29.01,10,0,0
A-2385111,2,33.510632,-82.094803,Augusta,Columbia,GA,63,,75,29.92,10,10.4,
A-857886,2,43.060535,-87.921745,Milwaukee,Milwaukee,WI,34,22,70,28.87,10,21,0
A-339821,2,38.361141,-120.806778,Jackson,Amador,CA,62.6,,63,30.14,10,3.5,
A-1399791,2,39.536484,-104.868332,Englewood,Douglas,CO,36,28,79,24.21,10,12,0
A-1856197,2,37.982937,-121.89888,Pittsburg,Contra Costa,CA,64,,48,30.06,10,,
A-966882,3,33.567688,-86.724464,Birmingham,Jefferson,AL,43,43,62,29.66,10,0,0
A-2867026,2,28.375291,-81.506412,Orlando,Orange,FL,73.9,,68,30.1,10,10.4,
A-140251,2,28.435684,-81.467339,Orlando,Orange,FL,87.1,,63,30,10,8.1,
A-940594,2,29.689157,-95.467674,Houston,Harris,TX,71,71,29,29.88,10,15,0
A-2815296,3,33.32631,-111.89357,Chandler,Maricopa,AZ,66.2,,68,29.93,10,17.3,
A-2570955,2,35.001083,-80.862587,Fort Mill,Lancaster,SC,41,,100,29.88,10,,
A-2337021,3,33.84338,-84.487671,Smyrna,Cobb,GA,61.2,,90,30.08,7,3.5,0
A-3459233,2,34.807907,-117.098978,Barstow,San Bernardino,CA,94,94,12,27.84,10,7,0
A-2545021,2,35.184032,-80.761299,Charlotte,Mecklenburg,NC,75,,84,30.09,10,13.8,
A-402176,3,32.75304,-117.011093,La Mesa,San Diego,CA,75.2,,29,30,10,6.9,
A-1647824,2,33.582245,-111.891006,Scottsdale,Maricopa,AZ,64,,46,30.17,10,3.5,
A-535631,2,33.873798,-118.236107,Compton,Los Angeles,CA,63,63,27,30.18,10,6,0
A-2585518,3,32.745213,-96.812698,Dallas,Dallas,TX,84.9,,46,29.95,10,4.6,
A-1753695,2,39.817104,-84.213837,Dayton,Montgomery,OH,42.1,39.2,49,30.21,10,4.6,
A-2227160,2,42.428738,-87.913727,Wadsworth,Lake,IL,41,,41,30.48,0,,
A-3029205,2,40.119557,-76.596602,Elizabethtown,Lancaster,PA,43,39,65,29.79,10,7,0
A-1372929,2,32.82375,-81.17527,Hampton,Hampton,SC,70,70,100,29.87,10,0,0
A-2527792,2,35.459515,-97.724716,Yukon,Canadian,OK,,,,,,,
A-2689708,2,39.772514,-86.206543,Indianapolis,Marion,IN,71.1,,81,29.81,10,3.5,
A-3909115,2,38.623558,-121.517599,Sacramento,Sacramento,CA,44.6,42.2,81,29.94,10,4.6,
A-3874149,2,37.383696,-121.970144,Santa Clara,Santa Clara,CA,61,61,87,30,10,10,0
A-570633,2,42.902653,-73.786118,Clifton Park,Saratoga,NY,36,36,93,29.65,7,0,0
A-3810686,2,37.72296,-121.10059,Salida,Stanislaus,CA,67,67,63,29.88,10,12,0
A-319132,3,32.632317,-117.09697,Chula Vista,San Diego,CA,55.9,,84,30.18,10,4.6,
A-3991631,2,26.704412,-80.074628,West Palm Beach,Palm Beach,FL,82,,85,30.06,10,9.2,0
A-3168074,2,47.462321,-122.265547,Seattle,King,WA,44,40,76,29.63,10,7,0
A-1802543,2,33.873337,-98.533058,Wichita Falls,Wichita,TX,90.7,,47,29.95,10,16.1,
A-3300418,2,35.064271,-81.773267,Cowpens,Cherokee,SC,37,37,93,29.04,10,0,0
A-1640489,3,42.368965,-71.064491,Charlestown,Suffolk,MA,30,21.7,45,30.11,10,9.2,
A-4077624,2,34.07169,-118.13224,Alhambra,Los Angeles,CA,53.1,,77,29.96,8,,
A-3839738,2,36.605205,-119.637467,Fowler,Fresno,CA,73,73,31,29.69,6,3,0
A-375354,3,40.701725,-73.992233,Brooklyn,Kings,NY,37.4,32.1,70,30.43,10,6.9,
A-2858087,2,34.198,-118.47405,Van Nuys,Los Angeles,CA,91,,8,29.94,10,11.5,
A-2753422,2,35.059146,-80.848972,Charlotte,Mecklenburg,NC,43,,93,30.19,9,,
A-2133996,2,26.608257,-81.755959,Lehigh Acres,Lee,FL,75,,94,29.95,10,,0.01
A-1918147,3,33.462875,-84.210556,McDonough,Henry,GA,73.4,,100,30.12,10,3.5,
A-1595620,2,35.767529,-78.57431,Raleigh,Wake,NC,44.1,40.8,96,29.99,8,5.8,
A-3937684,2,37.44916,-122.1222,Palo Alto,Santa Clara,CA,53.6,,,30.11,10,11.5,
A-2042026,3,35.012138,-85.186295,Chattanooga,Hamilton,TN,91,,44,29.83,10,12.7,
A-224034,2,40.060547,-82.976738,Columbus,Franklin,OH,64,,87,30.08,10,6.9,0.01
A-711072,3,41.874226,-87.706131,Chicago,Cook,IL,79,79,47,29.29,10,14,0
A-1180320,3,26.528648,-80.073174,Boynton Beach,Palm Beach,FL,73,73,87,29.88,10,6,0
A-22796,2,38.617527,-121.359863,Sacramento,Sacramento,CA,66.2,,43,29.96,10,13.8,
A-1542881,2,40.685989,-73.598488,Roosevelt,Nassau,NY,46,39.6,16,30.24,10,15,
A-1721079,2,45.129959,-93.390083,Minneapolis,Hennepin,MN,33.1,24.4,100,29.46,2.5,11.5,0
A-27805,2,37.779716,-122.238434,Oakland,Alameda,CA,70,,63,29.87,10,13.8,
A-1454487,2,30.475861,-84.296371,Tallahassee,Leon,FL,67,67,93,30.02,10,3,0.02
A-2494390,2,37.502991,-122.331703,Belmont,San Mateo,CA,55.4,,100,29.89,,,
A-1884204,2,32.788403,-86.871567,Maplesville,Chilton,AL,78.1,,84,30.09,9,5.8,
A-2454215,3,33.666203,-81.674118,Aiken,Aiken,SC,44.6,39.7,29,30.48,10,9.2,
A-292021,2,29.733606,-95.382126,Houston,Harris,TX,86,,62,29.97,10,11.5,
A-457186,3,37.834717,-122.294701,Emeryville,Alameda,CA,59,,81,30,9,11.5,
A-2593712,2,43.044502,-87.947792,Milwaukee,Milwaukee,WI,51.8,,76,30.01,10,10.4,
A-4156068,3,34.03147,-118.42882,Los Angeles,Los Angeles,CA,68,,87,29.9,10,3.5,
A-1090856,3,26.840662,-80.101006,Palm Beach Gardens,Palm Beach,FL,78,78,81,30.03,10,12,0
A-3537801,2,34.954677,-120.480808,Santa Maria,Santa Barbara,CA,75,75,31,29.84,10,16,0
A-4054866,2,30.19164,-81.69469,Jacksonville,Duval,FL,66,,63,30.17,10,8.1,
A-705719,2,33.591095,-117.759537,Laguna Beach,Orange,CA,66,66,78,29.89,9,8,0
A-2340880,3,36.605553,-77.564301,Skippers,Greensville,VA,55.4,,36,30.46,,,
A-3990472,3,47.837765,-122.260885,Lynnwood,Snohomish,WA,48.9,,86,30.35,10,3.5,
A-1398404,2,40.91396,-78.247231,Philipsburg,Clearfield,PA,65,65,87,28.35,10,9,0
A-2544822,2,39.755386,-86.187546,Indianapolis,Marion,IN,59,,93,30.15,2,3.5,0
A-1765643,2,35.45023,-80.79599,Davidson,Mecklenburg,NC,46.4,,76,30.08,10,,
A-1366489,2,25.656824,-80.399612,Miami,Miami-Dade,FL,80,80,94,30,10,0,0
A-2900020,3,26.72375,-80.09163,West Palm Beach,Palm Beach,FL,82.9,,58,29.97,10,20.7,
A-538073,3,42.053616,-71.236885,Foxboro,Norfolk,MA,45,42,48,30.01,10,6,0
A-2746823,2,32.86775,-97.00057,Irving,Dallas,TX,90,,55,29.88,10,12.7,
A-2321970,2,35.201469,-80.760971,Charlotte,Mecklenburg,NC,52,,61,30.21,10,5.8,0
A-305891,2,32.836933,-97.01696,Irving,Dallas,TX,84,,67,29.95,10,5.8,
A-4227919,2,45.14549,-122.88659,Woodburn,Marion,OR,70,70,51,29.87,10,5,0
A-2237251,2,42.377529,-87.855499,Waukegan,Lake,IL,28.9,22.8,56,30.05,10,5.8,
A-1563214,2,36.09029,-86.812683,Nashville,Davidson,TN,45,43.5,58,30.29,10,3.5,0
A-3555880,1,29.95923,-90.08497,New Orleans,Orleans,LA,88,88,59,30.11,10,8,0
A-432384,2,30.404968,-97.716072,Austin,Travis,TX,82,,60,29.91,10,6.9,
A-2763772,2,39.22751,-84.28276,Loveland,Clermont,OH,57.4,,100,29.91,10,11.5,0.01
A-2549825,2,35.250839,-80.81852,Charlotte,Mecklenburg,NC,62.1,,100,30.17,2,5.8,
A-1089619,2,33.538342,-112.079208,Phoenix,Maricopa,AZ,57,57,24,28.71,10,7,0
A-241771,3,39.019833,-77.105431,Bethesda,Montgomery,MD,32,,93,30.1,10,,
A-2722600,3,34.16515,-118.46972,Van Nuys,Los Angeles,CA,57,,69,30.1,10,,
A-3100565,2,25.744754,-80.319703,Miami,Miami-Dade,FL,78,78,84,29.91,10,12,0
A-3659409,2,35.22027,-80.81086,Charlotte,Mecklenburg,NC,71,71,49,28.95,10,3,0
A-2776415,4,41.182674,-74.049767,Pomona,Rockland,NY,36,25.3,48,29.67,10,19.6,
A-2788699,2,25.902351,-80.384925,Hialeah,Miami-Dade,FL,80.1,,67,29.96,10,9.2,
A-446410,2,40.707134,-73.428192,Farmingdale,Suffolk,NY,55.9,,34,29.87,10,10.4,
A-1539173,3,40.823406,-73.020164,Farmingville,Suffolk,NY,34,21.8,73,29.53,10,23,
A-3548224,2,37.86053,-122.0326,Alamo,Contra Costa,CA,71,71,47,29.98,10,16,0
A-2114369,2,30.427708,-91.077873,Baton Rouge,East Baton Rouge,LA,84.9,,41,30.12,10,3.5,
A-3331453,2,39.858559,-77.686053,Chambersburg,Franklin,PA,69,69,63,29.32,10,12,0
A-3475968,2,40.24439,-75.33931,Lansdale,Montgomery,PA,46,42,88,29.44,10,8,0
A-1761637,3,33.954762,-117.305031,Riverside,Riverside,CA,55.9,,24,30.27,10,4.6,
A-1692534,2,35.49324,-97.53878,Oklahoma City,Oklahoma,OK,48,,36,30.31,10,3.5,
A-527085,2,30.141888,-81.767471,Orange Park,Clay,FL,54,54,54,30.24,10,6,0
A-1404247,2,41.389973,-73.598167,Brewster,Putnam,NY,44,41,79,29.35,10,6,0
A-4163420,2,33.852671,-118.279798,Carson,Los Angeles,CA,69.8,,83,29.86,7,5.8,
A-2284574,2,40.457848,-79.974205,Pittsburgh,Allegheny,PA,12.9,0.7,74,30.3,10,9.2,
A-1199815,2,33.876286,-118.067368,Cerritos,Los Angeles,CA,75,75,69,29.79,10,0,0
A-2771368,4,33.56794,-84.526766,Union City,Fulton,GA,79,,29,30.11,10,4.6,
A-158831,3,33.741333,-84.414047,Atlanta,Fulton,GA,91.9,,45,29.99,10,9.2,
A-2906500,2,35.22488,-80.90437,Charlotte,Mecklenburg,NC,70,,71,29.84,10,3.5,
A-3424973,2,39.232681,-76.709879,Halethorpe,Baltimore County,MD,56,56,90,29.54,10,9,0
A-1260416,3,36.19379,-86.197578,Lebanon,Wilson,TN,74,74,91,29.28,7,0,0
A-2716064,2,40.573441,-111.977165,South Jordan,Salt Lake,UT,,,,,,,
A-138057,2,25.761604,-80.321266,Miami,Miami-Dade,FL,89.1,,67,30.11,10,15,
A-3508208,2,36.210793,-119.127103,Lindsay,Tulare,CA,85,85,25,29.42,10,8,0
A-622960,2,34.205971,-86.847183,Cullman,Cullman,AL,69,69,45,29.24,10,16,0
A-423166,3,41.748161,-71.443047,Warwick,Kent,RI,55,,42,30.27,10,12.7,
A-3928478,3,42.06321,-88.03088,Rolling Meadows,Cook,IL,28.9,19.2,78,30.16,2,11.5,0
A-2304982,2,40.454716,-79.994392,Pittsburgh,Allegheny,PA,19.9,13.4,89,30.44,7,4.6,
A-1725618,2,40.697071,-73.629921,Hempstead,Nassau,NY,35.1,32.2,96,30.38,10,3.5,
A-3559532,2,33.925792,-118.177709,Lynwood,Los Angeles,CA,71,71,59,29.87,10,8,0
A-1730762,2,37.880096,-122.516106,Mill Valley,Marin,CA,80.6,,34,30.07,10,,
A-356641,2,28.630932,-81.823891,Groveland,Lake,FL,64.9,,90,30.26,9,3.5,
A-416573,2,41.858925,-88.096329,Wheaton,DuPage,IL,69.1,,54,30.14,10,8.1,
A-2281090,2,36.098324,-95.8592,Tulsa,Tulsa,OK,50,,74,30.09,10,13.8,
A-766399,2,35.20837,-80.839653,Charlotte,Mecklenburg,NC,40,40,89,29.22,10,0,0
A-3025767,2,45.664962,-94.764043,Melrose,Stearns,MN,10,1,92,28.49,4,6,0
A-3427729,2,45.563575,-122.924705,Hillsboro,Washington,OR,77,77,50,29.87,10,0,0
A-2919660,2,42.26404,-88.17898,Wauconda,Lake,IL,42.1,33.6,100,30.09,5,18.4,0.03
A-397003,3,37.764954,-121.410652,Tracy,San Joaquin,CA,62.1,,52,29.92,10,9.2,0
A-2621251,2,39.627781,-84.188354,Dayton,Montgomery,OH,71.6,,88,29.98,10,8.1,0
A-3510936,2,32.749687,-117.110025,San Diego,San Diego,CA,68,68,63,29.92,10,9,0
A-3463055,1,33.48049,-112.15165,Phoenix,Maricopa,AZ,91,91,23,28.69,10,6,0
A-365678,2,41.832497,-87.947784,Oak Brook,DuPage,IL,32,23,32,30.62,10,11.5,
A-1370496,3,40.608631,-74.038231,Brooklyn,Kings,NY,77,77,40,29.74,10,3,0
A-1246792,3,33.791965,-84.39241,Atlanta,Fulton,GA,71,71,68,29.24,10,0,0
A-2652128,2,43.028793,-83.745674,Flint,Genesee,MI,73,,66,30.02,10,5.8,
A-3513647,2,34.87271,-82.32926,Greenville,Greenville,SC,74,74,82,28.92,8,9,0
A-1492267,3,32.757359,-97.263649,Fort Worth,Tarrant,TX,79,79,42,29.13,10,12,0
A-1743615,2,33.753963,-78.852425,Myrtle Beach,Horry,SC,66.2,,88,30.11,10,8.1,
A-2743321,2,30.478331,-91.113966,Baton Rouge,East Baton Rouge,LA,89.1,,65,30.11,1.8,9.2,
A-389728,2,30.389137,-97.94104,Austin,Travis,TX,68.4,,95,30.19,10,,
A-704496,2,35.269161,-80.814568,Charlotte,Mecklenburg,NC,83,83,69,29.28,10,3,0
A-2172614,3,42.906853,-74.562126,Canajoharie,Montgomery,NY,33.8,27.7,87,29.78,2,6.9,
A-2415368,2,47.394276,-122.047539,Maple Valley,King,WA,50,,66,30.58,10,,
A-1328570,2,35.908058,-78.60067,Raleigh,Wake,NC,86,86,67,29.47,10,0,0
A-1808355,2,37.284851,-79.93856,Roanoke,Roanoke City,VA,78.1,,68,30.28,10,5.8,
A-2642221,3,33.580025,-117.671875,Mission Viejo,Orange,CA,80.1,,34,29.85,10,5.8,
A-3323117,2,26.580744,-80.069099,Lake Worth,Palm Beach,FL,85,85,74,29.87,10,18,0
A-2011896,3,32.631557,-80.881538,Yemassee,Jasper,SC,77,,96,29.99,8,10.4,0
A-3852164,2,37.72506,-122.137403,San Leandro,Alameda,CA,74,74,48,30.01,10,15,0
A-2972635,2,41.493247,-94.662419,Adair,Adair,IA,55,55,63,28.76,10,6,0
A-1178524,2,35.464249,-97.583344,Oklahoma City,Oklahoma,OK,72,72,100,28.69,0.25,7,0
A-2329469,2,35.480659,-97.636658,Oklahoma City,Oklahoma,OK,24.1,12,88,30.43,6,13.8,0
A-791586,3,30.249689,-81.536781,Jacksonville,Duval,FL,92,92,47,29.99,10,9,0
A-2116120,2,35.747704,-78.835388,Apex,Wake,NC,70,,55,30.16,10,6.9,
A-469204,3,33.764881,-84.493568,Atlanta,Fulton,GA,72,,100,29.95,10,,
A-1540833,2,39.110931,-77.18782,Gaithersburg,Montgomery,MD,48,,58,30.12,10,,
A-3316160,2,34.863106,-120.445938,Santa Maria,Santa Barbara,CA,58,58,72,29.58,9,5,0
A-2845762,2,34.07077,-117.7631,Pomona,Los Angeles,CA,73.4,,44,29.89,10,11.5,
A-3379433,2,33.375531,-117.562034,San Clemente,San Diego,CA,58,58,58,29.82,10,7,0
A-377701,3,38.830334,-77.452911,Centreville,Fairfax County,VA,39.2,35.9,75,30.42,10,4.6,
A-2724184,3,33.92141,-118.08277,Norwalk,Los Angeles,CA,59,,72,29.97,10,4.6,
A-2926631,3,34.16534,-118.46973,Van Nuys,Los Angeles,CA,61,,70,29.97,10,6.9,
A-1651555,2,34.090775,-118.306572,Los Angeles,Los Angeles,CA,62.1,,53,30.26,10,,
A-4119135,4,33.96702,-84.09625,Lawrenceville,Gwinnett,GA,64,,96,,6,5.8,
A-2897521,2,32.65764,-96.73594,Dallas,Dallas,TX,78.1,,37,29.64,10,3.5,
A-1638375,3,39.265697,-76.595787,Baltimore,Baltimore City,MD,28,,53,30.27,,,
A-2778875,2,40.10729,-83.0359,Columbus,Franklin,OH,60.1,,62,29.74,10,16.1,
A-1388100,2,40.708599,-74.24514,Hillside,Union,NJ,57,57,96,29.8,4,9,0.13
A-3482810,3,38.7928,-77.02542,Fort Washington,Prince George's,MD,49,42,35,30.07,10,18,0
A-3601837,3,40.68483,-73.40129,Copiague,Suffolk,NY,47,41,63,29.81,10,14,0
A-954352,2,33.988972,-118.339912,Los Angeles,Los Angeles,CA,62,62,60,30.03,10,5,0
A-1508911,2,39.725609,-105.043152,Denver,Denver,CO,26.6,,69,29.94,10,,
A-505814,2,39.330799,-77.670731,Knoxville,Frederick,MD,89.6,,43,29.82,10,13.8,
A-704425,2,39.8083,-85.990791,Indianapolis,Marion,IN,72,72,100,29.03,10,7,
A-801610,2,42.136669,-73.598557,Hillsdale,Columbia,NY,,,,28.77,,,0
A-3484359,2,44.42824,-93.95024,Saint Peter,Nicollet,MN,46,40,51,29.12,10,14,0
A-3200501,4,39.611688,-86.485372,Clayton,Hendricks,IN,33,24,96,29.18,1,12,0.03
A-2018611,3,28.835157,-81.319229,Deltona,Volusia,FL,78.1,,93,30,10,5.8,0.03
A-2204232,3,39.847031,-75.387505,Chester,Delaware,PA,55,,40,30.35,10,9.2,
A-3784709,2,38.64047,-121.52498,Sacramento,Sacramento,CA,52,52,88,30.13,10,3,
A-1942990,2,35.377174,-97.742332,Mustang,Canadian,OK,90,,50,29.93,10,10.4,
